trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL:neutral ZIMMER:positiv ZIMMER:negativ HOTEL:positiv LAGE:neutral ESSEN&TRINKEN:neutral ESSEN&TRINKEN:negativ HOTEL:negativ ESSEN&TRINKEN:positiv LAGE:negativ SERVICE:negativ ZIMMER:neutral SERVICE:positiv LAGE:positiv SERVICE:neutral]
10	4.95E-05	4	16	9.312.912.459.373.470	0.135624608	0.044798968	0.522412275	0.600570112	0.479513876	0.590036146	[0.33973028163022206, 0.6608186943806675, 0.5747996794871795, 0.6130268859514174, 0.3524739807946639, 0.42825632394940844, 0.46522338665195806, 0.4202019231539083, 0.6655999667827952, 0.4577890060764296, 0.5126174862324622, 0.36747474747474745, 0.6918649044017895, 0.6428308762076689, 0.0]
11	3.13E-05	3	4	18.290.350.182.056.400	0.134447556	0.044263646	0.537050234	0.606759577	0.490735609	0.597018682	[0.32246630467737936, 0.660440204956334, 0.5826549062028408, 0.619469716459683, 0.4047369596207684, 0.47553028366981853, 0.53125, 0.4398936170212766, 0.6659870427567337, 0.4490345528455284, 0.5234848484848484, 0.34024074424983985, 0.7007797609401887, 0.6450651935276753, 0.0]
12	3.10E-05	4	4	2.418.293.909.072.870	0.134833151	0.044028197	0.537523474	0.6111049	0.503962055	0.603597424	[0.33777777777777773, 0.6604943968460031, 0.6040700799008097, 0.6195208331972581, 0.4303421068126951, 0.49357142857142855, 0.5318675889328063, 0.4620084694494858, 0.666593412316935, 0.4967169476486247, 0.5306429949028793, 0.37758523607974137, 0.6985374150597543, 0.6497021302781015, 0.0]
13	3.24E-05	3	4	1.833.027.244.091.030	0.094324201	0.031202521	0.708036112	0.806524927	0.640370969	0.791496291	[0.44342428388411953, 0.8763527629308187, 0.7929700427372758, 0.830385691941756, 0.4762633359354671, 0.4677687268157027, 0.7187948350071737, 0.5864973072941366, 0.8959617312421051, 0.6082491901500591, 0.6642824599444833, 0.465047065337763, 0.9314443621368668, 0.848122737295412, 0.0]
14	4.54E-05	4	16	9.342.524.757.385.250	0.102556469	0.033520242	0.671853007	0.786059785	0.57374086	0.757190553	[0.34919322307382006, 0.8748363689913952, 0.7660607065982619, 0.800914544245695, 0.35763611519865457, 0.4125, 0.5775887494637495, 0.47459893048128343, 0.8841446486598937, 0.4890767931459039, 0.5193991193991194, 0.3303145483458093, 0.9230695377848992, 0.8467796190315027, 0.0]
15	3.37E-05	3	4	18.303.275.723.457.300	0.131238233	0.042350776	0.544342689	0.61636674	0.499323313	0.606286189	[0.37855669369753875, 0.6685455543002585, 0.5886713761174968, 0.6267864518286291, 0.3736344537815126, 0.46672077922077926, 0.5210348162475822, 0.4537553368738935, 0.6765006173731523, 0.490958605664488, 0.5184130565309948, 0.3635064935064935, 0.70609311813368, 0.6566723357430206, 0.0]
16	2.79E-05	3	16	7.154.618.129.730.220	0.111979473	0.034384247	0.635623263	0.771986775	0.469406077	0.718026799	[0.06982793117246898, 0.8757095235380254, 0.7655045843435133, 0.8027837307724408, 0.06818181818181818, 0.08064516129032258, 0.476306470484691, 0.3809955527965152, 0.8903149129084196, 0.20477160179571435, 0.5720688026948615, 0.07072072072072073, 0.932413820853011, 0.8508465173883117, 0.0]
17	4.36E-05	4	16	9.348.316.240.310.660	0.154270481	0.050140152	0.466025718	0.551727638	0.382960397	0.527630637	[0.23833333333333329, 0.6191330882809106, 0.4973630384214326, 0.578522284729617, 0.24305555555555552, 0.22715572715572718, 0.29742547425474253, 0.2979708306911858, 0.5979686520376175, 0.27717391304347827, 0.3502987622705933, 0.2453846153846154, 0.6850007683394317, 0.5896199066940636, 0.0]
18	3.43E-05	3	4	18.320.213.193.893.400	0.174824124	0.056853254	0.359962406	0.407663342	0.332378766	0.401307696	[0.222007722007722, 0.43220611916264084, 0.39013157894736844, 0.41987817958933493, 0.26068913480885314, 0.3689733408961997, 0.34389454209065684, 0.29409005628517826, 0.4478001239366796, 0.30952380952380953, 0.3477272727272728, 0.2445927289461574, 0.46573872698274615, 0.4384281500210704, 0.0]
19	2.92E-05	3	8	11.006.438.591.480.200	0.096007584	0.031014374	0.703098144	0.805964811	0.63416368	0.788005935	[0.38880742913000976, 0.8712022021167635, 0.781520260595647, 0.8298083998821054, 0.4446559496129211, 0.491739450699779, 0.6730317273795535, 0.5930591983835558, 0.8872197593507957, 0.6118545662412121, 0.6680670294181685, 0.4760650894132964, 0.9334015024782352, 0.8620226325444816, 0.0]
